                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.2952,                0.78746,                0.97088,                0.65166,                0.40482,                0.44105,                0.24752,                    nan,                    nan,                    nan,                 0.0034,                 0.0034,                 0.0034
                     53,                 1.2943,                0.78516,                0.96959,                 0.6535,                0.40568,                0.44198,                0.24786,                    nan,                    nan,                    nan,               0.003268,               0.003268,               0.003268
                     54,                 1.2924,                0.78442,                 0.9697,                0.65652,                0.40559,                0.44297,                0.24805,                    nan,                    nan,                    nan,               0.003136,               0.003136,               0.003136
                     55,                 1.2918,                0.78312,                0.96828,                0.65711,                0.40683,                 0.4435,                0.24836,                    nan,                    nan,                    nan,               0.003004,               0.003004,               0.003004
                     56,                 1.2894,                0.78102,                0.96816,                0.65871,                0.40673,                0.44395,                0.24871,                    nan,                    nan,                    nan,               0.002872,               0.002872,               0.002872
                     57,                 1.2879,                0.77817,                0.96797,                0.66166,                0.40519,                0.44462,                0.24904,                    nan,                    nan,                    nan,                0.00274,                0.00274,                0.00274
                     58,                 1.2854,                0.77639,                0.96743,                0.66202,                0.40565,                0.44479,                0.24929,                    nan,                    nan,                    nan,               0.002608,               0.002608,               0.002608
                     59,                 1.2847,                0.77516,                0.96553,                0.66069,                0.40631,                0.44533,                 0.2497,                    nan,                    nan,                    nan,               0.002476,               0.002476,               0.002476
                     60,                 1.2835,                 0.7739,                0.96624,                 0.6619,                0.40614,                 0.4462,                0.24988,                    nan,                    nan,                    nan,               0.002344,               0.002344,               0.002344
                     61,                 1.2789,                0.76971,                0.96481,                0.65778,                0.40897,                0.44669,                0.25026,                    nan,                    nan,                    nan,               0.002212,               0.002212,               0.002212
                     62,                 1.2781,                0.76726,                0.96415,                0.66043,                0.40848,                0.44741,                0.25053,                    nan,                    nan,                    nan,                0.00208,                0.00208,                0.00208
                     63,                 1.2775,                0.76737,                0.96436,                0.66043,                0.40806,                0.44742,                0.25081,                    nan,                    nan,                    nan,               0.001948,               0.001948,               0.001948
                     64,                 1.2737,                0.76249,                0.96304,                0.66054,                0.40803,                0.44784,                0.25106,                    nan,                    nan,                    nan,               0.001816,               0.001816,               0.001816
                     65,                 1.2745,                 0.7609,                0.96204,                 0.6603,                0.40951,                 0.4484,                0.25142,                    nan,                    nan,                    nan,               0.001684,               0.001684,               0.001684
                     66,                 1.3067,                0.75907,                0.96486,                0.66324,                0.40851,                 0.4487,                 0.2514,                    nan,                    nan,                    nan,               0.001552,               0.001552,               0.001552
                     67,                 1.3015,                0.75352,                0.96235,                0.66603,                0.40847,                0.44906,                0.25165,                    nan,                    nan,                    nan,                0.00142,                0.00142,                0.00142
                     68,                 1.2999,                0.75016,                 0.9619,                 0.6666,                0.40743,                0.44909,                0.25204,                    nan,                    nan,                    nan,               0.001288,               0.001288,               0.001288
                     69,                 1.2956,                0.74661,                0.96067,                0.66791,                 0.4075,                0.44942,                0.25231,                    nan,                    nan,                    nan,               0.001156,               0.001156,               0.001156
                     70,                 1.2937,                0.74301,                0.96023,                0.66863,                0.40652,                0.44956,                0.25235,                    nan,                    nan,                    nan,               0.001024,               0.001024,               0.001024
                     71,                 1.2908,                0.74059,                0.95889,                0.66857,                0.40662,                0.44982,                0.25276,                    nan,                    nan,                    nan,               0.000892,               0.000892,               0.000892
                     72,                  1.289,                0.73709,                0.95791,                0.67156,                0.40762,                0.45028,                0.25303,                    nan,                    nan,                    nan,                0.00076,                0.00076,                0.00076
                     73,                 1.2851,                0.73292,                0.95609,                0.66998,                0.40977,                0.45042,                0.25306,                    nan,                    nan,                    nan,               0.000628,               0.000628,               0.000628
                     74,                  1.283,                 0.7302,                 0.9561,                0.67347,                0.40806,                0.45084,                0.25334,                    nan,                    nan,                    nan,               0.000496,               0.000496,               0.000496
                     75,                  1.281,                0.72765,                 0.9553,                0.67477,                0.40787,                0.45099,                0.25353,                    nan,                    nan,                    nan,               0.000364,               0.000364,               0.000364
